year,5 year bond yields,Core inflation,"Lime, Cement, & Fabricated Construction Materials Excl Glass & Clay Materials",Clay Construction Materials & Refractory Construction Materials,GDPm (Current Prices),Personal Income m,GDP per capita,Unemployment Rate,Median Household Inc,ResidentPopulation,ResidentPopulation_Growth_Rate
1990,5.283333333333333,62.094166666666666,104.11358333333334,80.20008333333334,17623.075,9635.85,22901.0,1.8,2296.0,2735868.0,2.150542350727447
1991,4.991666666666666,64.3575,108.12891666666667,79.97066666666667,19635.7,10867.0,24674.0,1.8,2442.94,2794704.0,2.150542350727447
1992,3.9975,65.39833333333333,103.78125,78.66875,21230.05,11410.725,26301.0,1.8,2599.29,2849754.0,1.96979715919825
1993,3.045833333333333,66.56166666666667,105.19166666666666,75.75466666666667,24480.774999999998,12513.5,28929.0,1.8,2765.65,2904547.0,1.9227273652392407
1994,3.581666666666667,68.24583333333332,107.39216666666665,73.88858333333333,28138.850000000002,14248.949999999999,32963.0,1.6000000000000003,2942.65,2959350.0,1.8868002480249
1995,3.0558333333333336,69.74416666666667,107.78683333333333,74.39625,31115.825,16009.775,35569.0,1.8999999999999997,3135.0,3013515.0,1.8303005727609005
1996,2.580833333333333,70.99583333333334,109.63525,72.35241666666667,33944.3,17473.775,36724.0,1.8,3367.0,3068132.0,1.8124017965731156
1997,3.4233333333333333,72.09083333333334,112.21466666666667,68.70316666666666,37166.1,19023.825,39930.0,1.3999999999999997,3617.0,3123403.0,1.8014544354675757
1998,4.1066666666666665,72.37666666666667,102.31275,66.71966666666667,35868.725,19471.2,37072.0,1.8999999999999997,3692.0,3180018.0,1.8126063143308668
1999,3.655,72.73666666666666,86.92691666666667,60.36258333333333,36563.125,18923.350000000002,37363.0,2.7000000000000006,3500.0,3229681.0,1.5617207198198146
2000,3.7441666666666666,73.81916666666667,85.1925,59.458,41408.1,21136.175,40870.0,3.4,4000.0,3273363.0,1.352517477732329
2001,2.975,74.965,87.085,57.43108333333333,40221.4,21962.575,38620.0,2.2,4363.0,3325902.0,1.6050465530404123
2002,2.624166666666667,74.9275,84.37958333333334,58.353833333333334,41424.525,21980.774999999998,38890.0,3.4,4096.0,3382944.0,1.7150836073943188
2003,2.0658333333333334,75.63,87.77883333333334,60.65483333333333,42529.475,22084.0,40244.0,3.6,4071.0,3366891.0,-0.4745275121314507
2004,2.2725,77.13666666666667,93.48833333333334,63.88366666666667,48608.25,23738.100000000002,43841.0,3.6,4066.0,3413266.0,1.377383467418447
2005,2.5433333333333334,78.105,101.62008333333334,65.1205,53180.75,26194.25,47046.0,3.2999999999999994,4270.0,3467814.0,1.5981174628640238
2006,3.205,79.44666666666667,105.98583333333333,64.29591666666667,59039.700000000004,29152.0,52201.0,2.7000000000000006,4430.0,3525894.0,1.674830310968245
2007,2.6350000000000002,81.19500000000001,107.926,68.87241666666667,68174.4,31954.875,57866.0,2.3,4846.0,3583082.0,1.621943257511438
2008,1.9583333333333333,85.80333333333334,137.24066666666667,80.10125000000001,68485.4,34076.75,54524.0,2.2,5492.0,3642659.0,1.662730576637661
2009,1.3308333333333333,85.78333333333335,133.27641666666668,75.35491666666667,70598.625,34755.675,53683.0,3.2000000000000006,5360.0,3733876.0,2.504132283587346
2010,1.0175,87.085,105.8685,71.47516666666667,81745.025,37917.975,63712.0,2.2,5600.0,3771721.0,1.0135580292436108
2011,0.8433333333333333,88.96999999999998,103.49483333333335,80.10674999999999,87841.97499999999,41213.85,65454.0,2.0,6307.0,3789251.0,0.4647745684264626
2012,0.4675,91.23833333333333,111.00425,84.31616666666666,92192.625,44942.674999999996,66330.0,1.8999999999999997,6772.0,3818205.0,0.76410879089297
2013,0.7658333333333333,92.80083333333333,110.53250000000001,89.51133333333333,96217.575,48012.15,67444.0,2.0,7030.0,3844751.0,0.6952481598028415
2014,1.4358333333333333,94.6075,113.81491666666666,97.10091666666666,99736.97499999999,51355.1,70400.0,1.8999999999999997,7320.0,3870739.0,0.6759345403642536
2015,1.8358333333333334,95.075,117.128,100.16866666666668,105861.02500000001,54283.075000000004,71283.0,2.0,7733.0,3902690.0,0.8254496105265741
2016,1.5883333333333332,95.9325,103.37325,99.726,110188.675,56445.424999999996,73805.0,2.1,7748.0,3933559.0,0.7909672559183623
2017,1.6291666666666667,97.3275,96.58475,100.402,118508.52500000001,58268.1,78587.0,2.2,7850.0,3965796.0,0.8195377265219683
2018,2.13,98.96666666666665,100.0,100.0,127084.34999999999,61094.75,79098.0,2.1,7955.0,3994283.0,0.7183173315016722
2019,1.7991666666666666,100.0,106.80466666666666,103.10208333333333,128516.5,63814.725,79825.0,2.3,7981.0,4026209.0,0.7992923886464665
2020,0.6816666666666666,99.84583333333335,113.71041666666667,108.04516666666666,120172.79999999999,64328.799999999996,73081.0,2.9,7744.0,4044210.0,0.4470955183896397
2021,0.9375,100.76833333333333,119.56991666666666,118.4925,142341.05000000002,67003.325,87308.0,2.7000000000000006,8220.0,3986842.0,-1.4185217879388088
2022,2.61,104.91833333333334,153.67675,135.012,160886.44999999998,73483.225,95787.0,2.1,8615.0,4073239.0,2.1670535225624787
2023,3.07,109.027,138.11177350937496,134.48625971398596,162929.50556104723,79356.66106239101,105089.44620195174,1.9,9028.98,4149253.0,1.8661806979654252
2024,2.038976171494012,107.90953594874732,139.50368050343013,135.6505894204888,162693.27169018245,78262.65102842671,92990.89656591234,2.5297255085593133,9271.026163517186,4134615.8398365737,0.5681932697247039
2025,2.1283363041372354,109.45232568317606,143.8502580684256,140.58606713110382,170006.20465679697,81234.56473690331,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
2026,2.1987925758150486,111.02498760057246,148.37829101878486,145.5566215013791,177479.97080374428,84306.58104539666,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.784268223,0.7601854518752393
2027,2.2692108538988487,112.59770258002364,152.90669099783054,150.52722133373294,184951.51063434803,87378.64233421053,101922.08255073805,2.49218834985102,9963.133310950048,4216038.19774497,0.6282144724777616
2028,2.3225763001588207,114.2050597797828,157.64533745537682,155.548747450952,189135.0389468607,89625.01225215134,102443.97965392454,2.56160505162194,10229.16903965726,4237087.43444254,0.4992657967100022
2029,2.4119364328019004,115.7478495142115,161.9919150203738,160.48422516156734,196447.97191346475,92596.92596062558,105611.29551867153,2.4355626490412403,10467.797200485296,4260580.043373408,0.5544518326410008
2030,2.4823927044797913,117.32051143160813,166.5199479707319,165.45477953184277,203921.73806042215,95668.94226912077,109279.952787423,2.471408984961518,10681.435297124515,4292189.378874064,0.7419021630592271
2031,2.5528109825635177,118.89322641105919,171.04834794977856,170.4253793641969,211393.27789102544,98741.00355793552,111375.16563876334,2.524067892913324,10921.276187089918,4318509.792351008,0.6132164998704726
2032,2.60617642882349,120.50058361081841,175.7869944073249,175.44690548141625,215576.8062035347,100987.37347587566,111897.06274193572,2.5934845946844103,11187.311915797565,4339559.029048231,0.487418987320698
2033,2.695536561466828,122.04337334524716,180.13357197231963,180.3823831920307,222889.73917015005,103959.2871843514,115064.37860667864,2.467442192103472,11425.94007662549,4363051.637979416,0.5413593587258569
